r\IA,0,1,2,3,4,5,6,7,8,9,10
20,,,2,3,3,4,4,5,6,7,9
19,,,2,2,3,3,4,5,6,7,9
18,,,2,2,3,3,4,5,5,6,8
17,,1,2,2,3,3,4,4,5,6,8
16,,1,2,2,2,3,3,4,5,6,7
15,,1,2,2,2,3,3,4,5,5,7
14,,1,2,2,2,3,3,4,4,5,7
13,,1,2,2,2,2,3,3,4,5,6
12,,1,1,2,2,2,3,3,4,4,6
11,,1,2,2,2,2,2,3,3,4,6
10,,,2,2,2,2,2,3,3,4,5
9,,,2,2,2,2,2,2,3,3,5
8,,,2,2,2,2,2,2,3,3,4
7,,,2,2,2,2,2,2,2,3,4
6,,,2,2,2,2,2,2,2,3,3
5,,,2,2,2,2,2,2,2,2,3
4,,,1,1,1,1,1,1,2,2,3
3,,,2,2,1,1,1,1,1,2,2
2,,,2,2,2,2,2,2,2,2,3
1,,4,3,3,3,3,3,3,3,3,3

